timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:48:11:347,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:11:559,10.689422288647659,5.350172744745477,567.0971165104174,0.051791147124325164,-0.21053744122704432,-0.004635518278341498,567.2230845546518,3,-12,-1
12:48:11:684,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:11:812,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:12:012,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:12:137,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:12:286,10.798558504293782,5.278435594248677,570.0988156314488,0.08651721706744328,-0.16294671366243318,0.000495967996201387,570.225508314451,5,-9,0
12:48:12:412,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:12:531,10.781961212938521,5.282000643789419,565.5444072439635,0.0707915846400441,-0.24086904679726573,-0.0007613006566633078,565.6718366538362,4,-14,-1
12:48:12:659,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:12:779,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:12:900,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:13:025,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:13:147,10.69473156725906,5.271358364391485,571.6821712570694,-0.04901675592325523,0.21592494377909513,-0.0040010014868189295,571.8064964964099,-3,12,-1
12:48:13:271,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:13:436,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:13:555,10.798558504293782,5.278435594248677,570.0988156314488,0.08651721706744328,-0.16294671366243318,0.000495967996201387,570.225508314451,5,-9,0
12:48:13:681,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:13:798,err,err,err,err,err,err,err,err,err,err
12:48:13:924,10.611806828315101,5.2862467513402445,566.2074953849622,0.05673102223023492,-0.18260151627910798,-0.005070246518329502,566.3316013423491,3,-10,-1
12:48:14:050,10.731423447298761,5.284968390847044,565.8576369409998,0.06911623875049744,-0.23769284963449822,-0.001007925952835112,565.9840630482008,4,-14,-1
12:48:14:173,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:14:299,10.573877207649646,5.203009218372918,565.6572371752374,-0.09636790850080984,0.2608518016367818,-0.009876119901092313,565.7799821068713,-6,15,-1
12:48:14:422,10.611806828315101,5.2862467513402445,566.2074953849622,0.05673102223023492,-0.18260151627910798,-0.005070246518329502,566.3316013423491,3,-10,-1
12:48:14:650,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:14:828,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:14:953,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:15:074,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:15:203,10.656826932263709,5.2787061303185885,565.0897084228943,0.07744478269057607,-0.2115790384508564,-0.0014295313123154141,565.2148363800673,5,-12,-1
12:48:15:323,10.714320270314381,5.28146869718984,565.2027139495275,0.08442697859177982,-0.20753170430679097,-0.0012803050762799793,565.3289294086812,5,-12,-1
12:48:15:445,10.603636181326902,5.277542623130199,567.1531876405978,-0.06265393984511262,0.24996102255059569,-0.0060776561956097505,567.2768528745872,-4,14,-1
12:48:15:570,10.69473156725906,5.271358364391485,571.6821712570694,-0.04901675592325523,0.21592494377909513,-0.0040010014868189295,571.8064964964099,-3,12,-1
12:48:15:692,10.635011498274526,5.330179165532827,564.1958709032883,0.10176840081280479,-0.17855402303100879,-0.0017379253695395482,564.3212693349641,6,-10,-1
12:48:15:814,10.611806828315101,5.2862467513402445,566.2074953849622,0.05673102223023492,-0.18260151627910798,-0.005070246518329502,566.3316013423491,3,-10,-1
12:48:15:938,10.689422288647659,5.350172744745477,567.0971165104174,0.051791147124325164,-0.21053744122704432,-0.004635518278341498,567.2230845546518,3,-12,-1
12:48:16:062,10.689422288647659,5.350172744745477,567.0971165104174,0.051791147124325164,-0.21053744122704432,-0.004635518278341498,567.2230845546518,3,-12,-1
12:48:16:184,10.660877231350351,5.3795526823543325,569.1471282931634,0.08507429670538623,-0.15407014537813693,-0.007600341260081251,569.2723843071599,5,-9,-1
12:48:16:305,10.611806828315101,5.2862467513402445,566.2074953849622,0.05673102223023492,-0.18260151627910798,-0.005070246518329502,566.3316013423491,3,-10,-1
12:48:16:430,10.660877231350351,5.3795526823543325,569.1471282931634,0.08507429670538623,-0.15407014537813693,-0.007600341260081251,569.2723843071599,5,-9,-1
12:48:16:598,10.625222764005807,5.364295771860034,567.049069554806,0.1164960606747461,-0.17388373933346335,-0.011853918550054162,567.1739753469687,7,-10,-1
12:48:16:721,10.645580662871858,5.3467738926355795,568.9199720300234,-0.12248179880193173,0.16663982046010445,-0.015524835722228385,569.0446827388437,-7,9,-1
12:48:16:878,10.645580662871858,5.3467738926355795,568.9199720300234,-0.12248179880193173,0.16663982046010445,-0.015524835722228385,569.0446827388437,-7,9,-1
12:48:17:005,10.696431683714065,5.376344888067259,569.2001239843046,0.066933947343894,-0.10434475616925852,-0.020021293968153258,569.3260049206144,4,-6,-1
12:48:17:126,err,err,err,err,err,err,err,err,err,err
12:48:17:279,err,err,err,err,err,err,err,err,err,err
12:48:17:456,err,err,err,err,err,err,err,err,err,err
12:48:17:577,err,err,err,err,err,err,err,err,err,err
12:48:17:741,err,err,err,err,err,err,err,err,err,err
12:48:17:864,err,err,err,err,err,err,err,err,err,err
12:48:17:989,err,err,err,err,err,err,err,err,err,err
12:48:18:114,err,err,err,err,err,err,err,err,err,err
12:48:18:276,err,err,err,err,err,err,err,err,err,err
12:48:18:397,err,err,err,err,err,err,err,err,err,err
12:48:18:520,err,err,err,err,err,err,err,err,err,err
12:48:18:643,err,err,err,err,err,err,err,err,err,err
12:48:18:769,err,err,err,err,err,err,err,err,err,err
12:48:18:888,err,err,err,err,err,err,err,err,err,err
12:48:19:010,err,err,err,err,err,err,err,err,err,err
12:48:19:134,err,err,err,err,err,err,err,err,err,err
12:48:19:258,err,err,err,err,err,err,err,err,err,err
12:48:19:378,err,err,err,err,err,err,err,err,err,err
12:48:19:504,err,err,err,err,err,err,err,err,err,err
12:48:19:627,err,err,err,err,err,err,err,err,err,err
12:48:19:751,err,err,err,err,err,err,err,err,err,err
12:48:19:874,err,err,err,err,err,err,err,err,err,err
12:48:19:996,err,err,err,err,err,err,err,err,err,err
12:48:20:122,err,err,err,err,err,err,err,err,err,err
12:48:20:243,err,err,err,err,err,err,err,err,err,err
12:48:20:367,err,err,err,err,err,err,err,err,err,err
12:48:20:533,err,err,err,err,err,err,err,err,err,err
12:48:20:652,err,err,err,err,err,err,err,err,err,err
12:48:20:778,err,err,err,err,err,err,err,err,err,err
